State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,5512,856350,626997,2399901,275970,15422,1377,25510,617,322,22120,566108,194954,597466,220248,232470,344167,281752,225957,143143,100226,19277,2377632,1536378,704551,422522,77788,191052,27018,80780,103066,182282,132039,114585,12000,1001,54
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,8606,1338474,972486,3599372,443456,20463,932,341,1417,309,14858,897970,223016,902997,341431,462273,720357,582075,331793,162175,144915,23341,3795998,2189396,1104565,739612,47575,353948,36633,106460,156107,291388,196768,153243,20566,977,57
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,13763,1484794,1183084,3737588,397870,24129,867,253,1322,358,11677,944555,324406,907970,395900,522961,770836,673197,548336,265199,246409,36017,4233948,2148179,1159053,807430,59402,382377,55151,132169,175853,311451,190750,142837,13905,997,64
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,1716933,1571644,4983330,77777,77825,738,413,4149,403,9661,1297273,479914,1199479,406362,669420,947606,797497,521562,271809,263023,47702,5043222,2724328,1478954,948122,2892,800168,95856,239150,275218,468704,208570,112434,7478,1006,64
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,1634726,1325715,4217597,559770,89763,764,323,3282,332,15982,1186028,648568,1069877,513113,736270,845810,674957,453446,246580,221924,30279,4683615,2583462,1371811,928462,4078,762845,83026,212589,229537,413160,200288,139120,10111,1003,61
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,149034,1542688,1349467,2046051,1713405,87522,11446,1268,19560,1929,62142,869721,581509,0,1066289,230962,596591,685215,811501,517425,558090,45937,4002623,2249130,1068243,542669,83281,868186,20495,90415,135609,236179,174472,181806,42536,954,73
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,8831,1257238,949591,3491139,244723,24979,2086,332,312,115,12583,926768,344667,877236,288044,340372,453505,482842,463403,293493,256633,35312,3605953,1940234,1031735,728494,75806,452865,55169,146503,166249,306232,176730,120450,9406,1008,58
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,8628,901640,728594,2595321,158887,33463,655,217,459,539,7829,668519,219710,669262,201363,295639,346118,329630,238811,154774,160804,25456,2426504,1530602,774583,477955,14230,360531,39441,120442,144836,254089,114041,69643,5094,1011,58
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,1598959,1410759,4023678,307043,145598,1393,863,6320,906,31597,1163932,632890,909292,567042,618101,692968,630603,531821,312753,328454,54728,4521927,2340943,1284630,833959,57866,863417,81004,218150,235751,417156,171961,95350,7885,992,67
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,1246369,880792,3328380,670737,33165,737,255,2235,434,17520,816721,195001,783853,306982,521327,672951,466940,271828,152453,115504,19282,3738218,2368684,1053618,609027,22134,353289,29425,86663,120568,238908,188029,181675,31914,988,52
